fileId,fileUrls from query AERDT_L2_VIIRS_SNPP--5200 2023-05-01..2024-08-14 x-88.9y42.6 x-86.9y41.1[5],size
7787723706,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2023/149/AERDT_L2_VIIRS_SNPP.A2023149.1824.002.2023214063403.nc,12215477
7787723926,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2023/149/AERDT_L2_VIIRS_SNPP.A2023149.1830.002.2023214063506.nc,12252837
7787724281,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2023/152/AERDT_L2_VIIRS_SNPP.A2023152.1730.002.2023214063503.nc,13816279
7787721859,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2023/149/AERDT_L2_VIIRS_SNPP.A2023149.2006.002.2023214063345.nc,12470003
7787710456,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2023/133/AERDT_L2_VIIRS_SNPP.A2023133.2006.002.2023214063050.nc,10628600
7787710460,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2023/133/AERDT_L2_VIIRS_SNPP.A2023133.2012.002.2023214063024.nc,11632354
7787723989,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2023/150/AERDT_L2_VIIRS_SNPP.A2023150.1806.002.2023214063439.nc,12837502
7787721868,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2023/150/AERDT_L2_VIIRS_SNPP.A2023150.1948.002.2023214063338.nc,12819175
7787721885,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2023/151/AERDT_L2_VIIRS_SNPP.A2023151.1748.002.2023214063324.nc,13770703
7787724233,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2023/151/AERDT_L2_VIIRS_SNPP.A2023151.1930.002.2023214063508.nc,12488207
7787718313,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2023/152/AERDT_L2_VIIRS_SNPP.A2023152.0924.002.2023214063308.nc,7849444
7787716060,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2023/152/AERDT_L2_VIIRS_SNPP.A2023152.1912.002.2023214063223.nc,11274013
7787727043,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2023/153/AERDT_L2_VIIRS_SNPP.A2023153.1712.002.2023214063609.nc,11985208
7787722116,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2023/153/AERDT_L2_VIIRS_SNPP.A2023153.0724.002.2023214063356.nc,8092411
7787722127,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2023/153/AERDT_L2_VIIRS_SNPP.A2023153.1848.002.2023214063340.nc,12343749
7787719426,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2023/153/AERDT_L2_VIIRS_SNPP.A2023153.1854.002.2023214063254.nc,11801108
7787724540,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2023/154/AERDT_L2_VIIRS_SNPP.A2023154.1654.002.2023214063445.nc,11008857
7787724522,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2023/154/AERDT_L2_VIIRS_SNPP.A2023154.1830.002.2023214063402.nc,12199687
7787714882,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2023/154/AERDT_L2_VIIRS_SNPP.A2023154.1836.002.2023214063211.nc,12764507
7787726175,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2023/154/AERDT_L2_VIIRS_SNPP.A2023154.2018.002.2023214063519.nc,12642943
7787724560,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2023/155/AERDT_L2_VIIRS_SNPP.A2023155.1636.002.2023214063503.nc,9348891
7787756535,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2023/155/AERDT_L2_VIIRS_SNPP.A2023155.1812.002.2023214063758.nc,12587580
7787724584,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2023/155/AERDT_L2_VIIRS_SNPP.A2023155.1954.002.2023214063453.nc,12433121
7787724781,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2023/156/AERDT_L2_VIIRS_SNPP.A2023156.1754.002.2023214063457.nc,11669643
7787727064,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2023/156/AERDT_L2_VIIRS_SNPP.A2023156.1936.002.2023214063559.nc,12818205
7787724991,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2023/157/AERDT_L2_VIIRS_SNPP.A2023157.0930.002.2023214063432.nc,7690094
7787756826,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2023/157/AERDT_L2_VIIRS_SNPP.A2023157.1736.002.2023214063746.nc,12544395
7787727068,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2023/157/AERDT_L2_VIIRS_SNPP.A2023157.1918.002.2023214063553.nc,13174393
7787725061,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2023/158/AERDT_L2_VIIRS_SNPP.A2023158.0730.002.2023214063505.nc,7894017
7787727767,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2023/158/AERDT_L2_VIIRS_SNPP.A2023158.1718.002.2023214063620.nc,12210819
7787726370,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2023/158/AERDT_L2_VIIRS_SNPP.A2023158.1854.002.2023214063552.nc,12896436
7787726365,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2023/158/AERDT_L2_VIIRS_SNPP.A2023158.1900.002.2023214063518.nc,14108475
